,Series,Season,Episodes,Synopsis,Link
0,Power Book III: Raising Kanan,Season 1,10 Episodes,"Set in South Jamaica, Queens, in 1991, “Raising Kanan” is a prequel to the original “Power” franchise. This family drama revolves around the coming of",https://www.starz.com/us/en/series/power-book-iii-raising-kanan/season-1/63242
1,Power Book III: Raising Kanan,Season 2,10 Episodes,"While Kanan Stark confronts the truth about Detective Howard, Raquel “Raq” Thomas fights to keep the family together and expand the business, despite",https://www.starz.com/us/en/series/power-book-iii-raising-kanan/season-2/67225
2,Power Book III: Raising Kanan,Season 3,10 Episodes,"Kanan and the rest of the Thomas family must confront an existential crisis that challenges their very identity. For those who do, the destination may",https://www.starz.com/us/en/series/power-book-iii-raising-kanan/season-3/69921
3,Hightown,Season 1,8 Episodes,"Set in the world of beautiful but bleak Cape Cod, “Hightown” follows one woman’s journey to sobriety, overshadowed by a murder investigation dragging",https://www.starz.com/us/en/series/hightown/season-1/58898
4,Hightown,Season 2,10 Episodes,"In ""Hightown"" Season 2, newly minted state cop Jackie Quinones is thrust into the wave of deadly carfentanyl that is sweeping Cape Cod. She is laser f",https://www.starz.com/us/en/series/hightown/season-2/64532
5,Hightown,Season 3,5 Episodes,"In Hightown season three, Massachusetts State Trooper Jackie Quiñones' search for a killer takes her into the dark underbelly of scenic Cape Cod.",https://www.starz.com/us/en/series/hightown/season-3/69893
6,BMF,Season 1,8 Episodes,"“BMF” follows the story of two brothers who created the “Black Mafia Family,” the most prominent drug distribution network in American history.",https://www.starz.com/us/en/series/bmf/season-1/64369
7,BMF,Season 2,10 Episodes,"BMF returns for a second hit season and dramatizes the inspiring true story of two brothers who gave birth to the influential crime family, Black Mafi",https://www.starz.com/us/en/series/bmf/season-2/68158
8,BMF,Season 3,BMF Season 3 Extras,"BMF Season 3 follows the inspiring true legends of two brothers from Detroit, Demetrius ""Big Meech"" Flenory and Terry ""Southwest T"" Flenory, who gave",https://www.starz.com/us/en/series/bmf/season-3/71242
9,Power Book II: Ghost,Season 1,10 Episodes,"“Ghost"" follows Tariq balancing his drug operations, grades, love life, and family. To avoid the same fate his father met is to become him — only bett",https://www.starz.com/us/en/series/power-book-ii-ghost/season-1/59103
10,Power Book II: Ghost,Season 2,10 Episodes,"In “Ghost” Tariq sacrifices anything to save his family. He turns to MacLean, Saxe, and Tate. Monet questions if Tariq’s what’s best for her family.",https://www.starz.com/us/en/series/power-book-ii-ghost/season-2/62405
