,Episode,Description,Duration,Year,Series
0,Ep 101 - BACK IN THE DAY,"It's 1991 in South Jamaica, Queens, and 15-year-old Kanan Stark is eager to join his family's growing drug business, led by his mother, ""Raquel Raq"" Thomas.",60 MINS,2021,Power Book III: Raising Kanan
1,Ep 102 - REAPING AND SOWING,"After a rival crewmember is killed, Raq does whatever is necessary to get the target off Kanan's back.",51 MINS,2021,Power Book III: Raising Kanan
2,Ep 103 - STICK AND MOVE,"Still reeling from a shocking death, Kanan pushes his way into the drug game with Marvin's help while Raq plots to take down her competition.",56 MINS,2021,Power Book III: Raising Kanan
3,Ep 104 - DON'T SLEEP,"All bets are off when a police raid clears out Raq's competition. Promises are broken, secrets are revealed, and revenge is swift.",50 MINS,2021,Power Book III: Raising Kanan
4,Ep 105 - CHOOSE YOUR BATTLES,"Eager to transform her business after the stash house is hit, Raq overhauls her operation. Meanwhile, Kanan is detained after a fight with Scrappy.",54 MINS,2021,Power Book III: Raising Kanan
5,Ep 106 - LEVEL UP,"Lou's new artist showcase becomes the nexus of the rivalry between Raq and Unique. At the same time, Kanan cooks up a drug-selling scheme with Marvin.",58 MINS,2021,Power Book III: Raising Kanan
6,Ep 107 - STAY IN YOUR LANE,Kanan and Marvin's side hustle goes awry. Raq seeks revenge for the attack on Scrappy. Jukebox suffers a devastating blow.,58 MINS,2021,Power Book III: Raising Kanan
7,Ep 108 - THE COST OF BUSINESS,Kanan struggles with a harsh truth after word gets back to Raq that he's behind the bad crack on the streets.,53 MINS,2021,Power Book III: Raising Kanan
8,Ep 109 - LOYAL TO THE END,"As Marvin seeks revenge, Raq turns to Kanan for assistance only he can provide.",53 MINS,2021,Power Book III: Raising Kanan
9,Ep 110 - PAID IN FULL,"As the situation in the neighborhood turns dire, Raq scrambles to get Kanan out of harm's way.",57 MINS,2021,Power Book III: Raising Kanan
10,Ep 201 - THE MORE THINGS CHANGE,"Kanan returns to Queens where Raq is trying to mend the many fractures in the Thomas family. As Raq expands her empire, Kanan doubts his future in the drug game. Meanwhile, Detective Howard ...",63 MINS,2022,Power Book III: Raising Kanan
11,Ep 202 - MIND YOUR BUSINESS,"Raq learns she may have a snitch and tasks Marvin with confirming the rumor. Lou brings in a potential new artist, but he and Crown disagree. Kanan helps Famous sell mix tapes. Jukebox track...",54 MINS,2022,Power Book III: Raising Kanan
12,Ep 203 - SLEEPING DOGS,"A surprise encounter with Howard leaves Kanan rattled. Raq tries to expand into new territory, but when an associate and valuables go missing, she is reunited with an old adversary. Lou cont...",53 MINS,2022,Power Book III: Raising Kanan
13,Ep 204 - PAY THE TOLL,"Kanan and Jukebox search for answers in family matters. When Raq's push into new territory is stalled, she proposes a meeting. Crown helps Famous get settled. Still investigating Howard's sh...",59 MINS,2022,Power Book III: Raising Kanan
14,Ep 205 - WHAT HAPPENS IN THE CATSKILLS,"Raq focuses on mother-son bonding with Kanan in the Catskills, but they're interrupted when business follows them. Crown disrespects Lou, bringing their simmering beef to a boil. Burke digs ...",56 MINS,2022,Power Book III: Raising Kanan
15,"Ep 206 - IT’S A BUSINESS, MAN",Raq assures everyone they need to follow orders and keep working as planned. Kanan takes on more responsibility but things go wrong when he runs into neighborhood kids. Lou feels the pressur...,50 MINS,2022,Power Book III: Raising Kanan
16,Ep 207 - NO LOVE LOST,Raq searches for a new home. Lou finds himself on the other side of his partner's unpaid debts. Burke gains traction in her investigation on Howard. A botched agreement with Marvin and an as...,57 MINS,2022,Power Book III: Raising Kanan
