,Name,Rating,Duration,Category,Year,Cast,Synopsis,Link
0,Jumanji: The Next Level,PG-13,123 MINS,"ACTION, COMEDY",2019,"Dwayne Johnson, Kevin Hart, Jack Black",A team of friends returns to Jumanji to rescue one of their own and must brave parts unknown in order to escape the world's most dangerous game.,https://www.starz.com/us/en/movies/jumanji-the-next-level-52161
1,Aliens Vs. Predator: Requiem,R,93 MINS,"ACTION, SCI-FI",2007,"Reiko Aylesworth, Steven Pasquale, John Ortiz","Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.",https://www.starz.com/us/en/movies/aliens-vs-predator-requiem-39597
2,X2: X-Men United,PG-13,133 MINS,"ACTION, SCI-FI",2003,"Patrick Stewart, Hugh Jackman, Ian McKellen","From Marvel Comics: As Magneto's mutants come close to murdering the president, the military sets up a plan to eradicate Charles Xavier's school - the X-Men now have two foes to conquer!",https://www.starz.com/us/en/movies/x2-x-men-united-49196
3,How High,R,93 MINS,COMEDY,2001,"Cliff ""Method Man"" Smith, Redman, Lark Voorhies","Two Staten Island stoners sprinkle the ashes of a departed buddy into their homegrown pot, and accidentally develop a super-strain weed that makes them smarter - next stop, Harvard!",https://www.starz.com/us/en/movies/how-high-48878
4,Cinderella,PG,105 MINS,"FANTASY, ROMANCE",2015,"Lily James, Richard Madden, Cate Blanchett","In this live-action retelling of Disney's animated classic, young Ella escapes from a life of drudgery by way of a fairy godmother whose magic brings Ella face to face with the prince of her dreams.",https://www.starz.com/us/en/movies/cinderella-25208
5,How High 2,TV-MA,88 MINS,COMEDY,2019,"Lil Yachty , DC Young Fly, Alyssa Goss",A pair of stoners embark on a pot-fueled adventure through Atlanta to find their missing weed.,https://www.starz.com/us/en/movies/how-high-2-71277
6,The Devil You Know,R,116 MINS,DRAMA,2022,"Michael Ealy, Omar Epps, Michael Beach","After a lifetime of trouble, a man has the chance to turn things around with the love and support of his family. As he tries to do right, he finds himself spiraling back into the dark place he overcame.",https://www.starz.com/us/en/movies/the-devil-you-know-67386
7,Hellboy,R,121 MINS,"ACTION, ADVENTURE",2019,"David Harbour, Ian McShane, Milla Jovovich","Legendary half-demon Hellboy encounters an ancient resurrected sorceress who's out to avenge a past betrayal. Caught in a clash, Hellboy becomes hell-bent on stopping her without triggering the end of the world.",https://www.starz.com/us/en/movies/hellboy-64171
8,Home Alone,PG,102 MINS,"COMEDY, FAMILY",1990,"Macaulay Culkin, Joe Pesci, Daniel Stern","The original comedy classic! Little Kevin gets left behind when the family leaves for an overseas Christmas vacation, and finds himself outwitting a pair of bumbling burglars in this slapstick riot!",https://www.starz.com/us/en/movies/home-alone-36024
9,The Hills Have Eyes 2,R,89 MINS,HORROR,2007,"Daniella Alonso, Jacob Vargas, Michael Bailey Smith",A group of National Guard trainees find themselves battling against a vicious group of mutants on their last day of training in the desert.,https://www.starz.com/us/en/movies/the-hills-have-eyes-2-37822
10,Annie,PG,118 MINS,"MUSICAL, FAMILY",2014,"Jamie Foxx, Quvenzhane Wallis, Rose Byrne","A plucky youngster escapes the clutches of her calculating foster mother and charms her way into the heart of a hard-nosed tycoon, who's running for mayor.",https://www.starz.com/us/en/movies/annie-23885
11,The 2nd,TV-MA,93 MINS,"ACTION, SUSPENSE",2020,"Ryan Phillippe, William Katt, Casper Van Dien",A Secret Service agent must save his son and the daughter of a Supreme Court justice from armed terrorists.,https://www.starz.com/us/en/movies/the-2nd-66523
12,Black Ops,TV-MA,103 MINS,"ACTION, HORROR",2019,"Shayne Ward, Bentley Kalu, Samantha Schnitzler","Trapped on a never-ending stairwell, members of a black ops team confront a mysterious and terrifying evil while trying to climb to the top.",https://www.starz.com/us/en/movies/black-ops-68338
13,Home Alone 2: Lost in New York,PG,120 MINS,"COMEDY, FAMILY",1992,"Macaulay Culkin, Joe Pesci, Daniel Stern","Intrepid Kevin finds himself left alone in New York City during Christmas, with enough cash and credit to live it up - but then he encounters the slapstick crooks who are planning a major holiday toy store heist!",https://www.starz.com/us/en/movies/home-alone-2-lost-in-new-york-34893
14,The Last Sentinel,R,94 MINS,"ACTION, SCI-FI",2007,"Keith David, Bokeem Woodbine, Katee Sackhoff","They were the perfect soldiers to protect mankind - until the drone police became the perfect enemy. Tallis, a cyber-enhanced soldier, rescues a rebel beauty and teach her to fight and think like a machine.",https://www.starz.com/us/en/movies/the-last-sentinel-68386
15,Liar Liar,PG-13,86 MINS,"COMEDY, FANTASY",1997,"Jim Carrey, Maura Tierney, Jennifer Tilly",A pathological liar lawyer finds his career turned upside down when he inexplicably cannot physically lie for 24 whole hours.,https://www.starz.com/us/en/movies/liar-liar-47457
16,Charlie's Angels,PG-13,118 MINS,"ACTION, ADVENTURE",2019,"Elizabeth Banks, Kristen Stewart, Naomi Scott","When a systems engineer blows the whistle on a dangerous technology, Charlie's Angels from across the globe are called into action, putting their lives on the line to protect society.",https://www.starz.com/us/en/movies/charlies-angels-52154
17,ParaNorman,PG,92 MINS,"ANIMATED, ADVENTURE",2012,"Leslie Mann, Casey Affleck, Kodi Smit-McPhee","A misunderstood boy takes on ghosts, zombies and grown-ups to save his town from a centuries-old curse.",https://www.starz.com/us/en/movies/paranorman-68588
18,Keep Watching,R,89 MINS,"HORROR, SUSPENSE",2017,"Bella Thorne, Ioan Gruffudd, Chandler Riggs",A family becomes imprisoned in its home by intruders who want to play a game of life and death.,https://www.starz.com/us/en/movies/keep-watching-38740
19,The Exorcism Of God,R,98 MINS,"HORROR, DRAMA",2021,"Joseph Marcell, María Gabriela de Faría, Will Beinbrink","When an American priest is possessed by a devil during an exorcism in Mexico, he proceeds to commit a terrifying act that will have consequences for years to come.",https://www.starz.com/us/en/movies/the-exorcism-of-god-69221
20,The Hurricane Heist,PG-13,102 MINS,"ACTION, SUSPENSE",2018,"Toby Kebbell, Maggie Grace, Ryan Kwanten","The rural town of New Hope, Ala., has a pair of super-sized problems heading its way: There's a hurricane bearing down on the Gulf coastline, and there's a team of mercenaries intent on looting the local treasury facility.",https://www.starz.com/us/en/movies/the-hurricane-heist-67526
21,Lake Placid,R,82 MINS,"ACTION, COMEDY",1999,"Bill Pullman, Bridget Fonda, Oliver Platt","In a remote lake in Maine, something is chewing through animals and humans like never before - an eccentric team assembles to tackle a ravenous 30-foot crocodile in this cult classic horror-comedy.",https://www.starz.com/us/en/movies/lake-placid-47826
22,The Fan,R,116 MINS,"DRAMA, SUSPENSE",1996,"Robert De Niro, Wesley Snipes, Ellen Barkin","As a middle-aged salesman's life unravels, his obsession with a star baseball player turns from fan to fanatical - and ultimately murderous!",https://www.starz.com/us/en/movies/the-fan-10064
23,Stealth,PG-13,120 MINS,"ACTION, ADVENTURE",2005,"Josh Lucas, Jessica Biel, Jamie Foxx",A robot fighter pilot learns combat skills from Navy fliers - but the android quits taking orders and threatens to ignite a global catastrophe!,https://www.starz.com/us/en/movies/stealth-19083
24,Ali,R,156 MINS,"BIOGRAPHY, DRAMA",2001,"Will Smith, Jamie Foxx, Jon Voight","A pivotal decade in the life of heavyweight boxing legend Muhammad Ali - his rise to the top of the sport, his refusal to go to Vietnam, and his comeback fights with Foreman and Frazier.",https://www.starz.com/us/en/movies/ali-37309
25,Aloha,PG-13,104 MINS,"COMEDY, ROMANCE",2015,"Emma Stone, Rachel McAdams, Ivana Milicevic",A military contractor unexpectedly falls for an Air Force officer while reconnecting with an ex.,https://www.starz.com/us/en/movies/aloha-23582
26,Armored,PG-13,88 MINS,"ACTION, CRIME",2009,"Matt Dillon, Jean Reno, Laurence Fishburne",A rookie armored-truck guard is persuaded by his co-workers to join in on a foolproof $42 million heist that promises no violence - but things go wrong in this taut action drama.,https://www.starz.com/us/en/movies/armored-36096
27,A Beautiful Day in the Neighborhood,PG,108 MINS,"DRAMA, BIOGRAPHY",2019,"Tom Hanks, Matthew Rhys, Chris Cooper",Based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod.,https://www.starz.com/us/en/movies/a-beautiful-day-in-the-neighborhood-52158
28,Meeting Evil,R,89 MINS,"CRIME, DRAMA",2012,"Samuel L. Jackson, Leslie Bibb, Luke Wilson","John is taken on a murder-fueled ride by a mysterious stranger who transforms the weak-willed, disillusioned husband and father into a hero willing to do anything to protect his family.",https://www.starz.com/us/en/movies/meeting-evil-52015
